CHARLES DICKENS	﻿CHARLES DICKENS
NHỮNG KỲ VỌNG LỚN LAO	NAGY VÁRAKOZÁSOK
Chương 1	ELSŐ FEJEZET.
Vậy nên tôi tự gọi mình là Pip, rồi dần dà mọi người cũng gọi tôi là Pip.	Így hát Pip-nek neveztem magamat és Pip-nek neveztek mások is.
Tôi đoán Pirrip là họ của bố tôi dựa vào bia mộ của ông và vào chị tôi, bà Joe Gargery, chị đã kết hôn với người thợ rèn.	Hogy az apámnak Pirrip volt a vezetékneve, ezt egyrészt a sírkövéről tudom, másrészt a nénémtől, Gargerynétől, aki Joe Gargery-nek, a kovácsnak, felesége volt.
Hình dáng những chữ cái trên bia mộ của bố tôi khiến tôi có một suy nghĩ kỳ lạ rằng ông là người vai rộng, rắn rỏi, ngăm ngăm với mái tóc xoăn đen.	A másik cifrabetűs föliratból: "Valamint Georgiána, Fentinek Hitvestársa" azt a gyer­me­kes következtetést vontam le, hogy az anyám szeplős és beteges teremtés volt.
Quê chúng tôi là một vùng đầm lầy ven sông, chạy theo những khúc uốn quanh co của con sông, cách biển chừng hai mươi dặm.	A lápvidéken laktunk, amely a kanyargó folyó mentén mintegy húsz angol mérföldnyire van a tengertől.
Ấn tượng sống động và rõ ràng đầu tiên tôi có được về đặc tính của sự vật dường như là vào một buổi chiều rét căm căm không thể nào quên, gần sẩm tối.	Ha nem csalódom, az első eleven, világos benyomás a dolgok azonosságáról egy emlékezetes nyirkos délután támadt bennem, estefelé.
Vào một thời điểm như thế tôi đã phát hiện ra chắc chắn rằng chốn cô tịch lạnh lẽo đầy những bụi tầm ma mọc tua tủa này là nghĩa địa nhà thờ; và Philip Pirrip, con chiên quá cố của giáo khu này, cũng như Georgiana vợ ông, đều đã chết và được chôn sâu trong mộ; và Alexander, Bartholomew, Abraham, Tobias cũng như Roger, năm đứa con sơ sinh của họ, cũng đã chết và nằm yên dưới đất; và khoảng không gian hoang vu bằng lặng tối sẫm nằm phía bên kia nghĩa địa, với những bờ kè, đê, cửa cống cắt ngang cắt dọc, lác đác gia súc đang tìm cái ăn, là đầm lầy; còn dải thấp màu xám chì nằm phía sau nó là con sông; và chốn hoang vu xa tít từ đó những con gió lồng lộng đang thổi vào chính là biển cả; còn cái đùm bé xíu đang run lẩy bẩy, càng lúc càng thấy sợ tất cả những thứ đó và bắt đầu khóc, là Pip.	Akkor állapítottam meg határozottan, hogy ez a csalánnal benőtt puszta hely a temető; és hogy Philip Pirrip, ennek az egyházköz­ség­nek néhai tagja, valamint Georgiána, az előbbinek hitvestársa, halott és a föld alatt pihen; és hogy Alexander, Bartholomew, Abraham, Tobias és Roger, az imént nevezettek csecsemő­gyermekei, szintén halottak és a föld alatt pihennek; és hogy a temetőn túl az a sötét, lapályos pusztaság, amelyet árkok, töltések és sorompók szaggatnak meg és amelyen szanaszéjjel barmok legelnek, a lápvidék; és hogy amott túl, lent az az ólomszínű vonal a folyó; és hogy az a távoli vad térség, ahonnan a szél fujt suhogva, a tenger; és hogy az a kis didergő valaki, aki mindettől félt és sírva fakadt, Pip.
"Yên nào, thằng quỷ con, không thì tao cắt cổ!"	- Elhallgass, sátánporonty, mer mingyá ketté­nyisszantom a gégédet!
Một người đàn ông đáng sợ, mặc toàn một màu xám tồi tàn, chân đeo một cái xiềng sắt to.	Félelmes ember volt, szürke darócruhában, a lábán nagy vasdarabbal.
Một người đàn ông không đội mũ, đi giày rách, một cái khăn cũ như tấm giẻ quấn quanh đầu.	Kalap nélkül volt, ron­gyos cipőben, a fejére ócska rongy volt csavarva.
Ông đừng cắt cổ cháu, ông ơi," tôi kinh hãi van xin.	- Ó, uram, ne nyisszantsa ketté a gégémet!
"Xin ông đừng làm thế."	- könyörögtem rémületemben.
"Nhanh!"	- kérdezte.
"Nói lại," ông ta vừa nói vừa trừng mắt nhìn tôi.	- Hadd hallom mégeccer - szólt rámmeredve.
"To cái mồm lên!"	- Nyögd ki mán!
"Pip, Pip, thưa ông."	- Pip, uram, Pip.
"Chỉ cho tao xem mày sống ở đâu," người đàn ông nói.	- Mutasd meg, hol laktok - kiáltotta.
"Tay đâu, chỉ xem nào!"	- Jelőd meg, meere!
Tôi chỉ về phía làng mình, nằm trên vùng đất bằng phẳng ven bờ, giữa những rặng cây dương tía và những thân cây bị xén ngọn, cách nhà thờ chừng một dặm.	A falunk felé mutattam, amely vagy másfél angol mérföldnyire volt a templomtól befelé a lapályon az égerfák és a fűzfák között.
Người đàn ông lạ mặt, sau khi nhìn tôi một thoáng, dốc ngược tôi xuống, rồi lục hết túi áo túi quần tôi.	Egy pillanatig rámnézett, azután felfordított és kiürítette a zsebeimet.
Trong đó chẳng có gì ngoài một mẩu bánh mì.	Nem volt bennük más, csak egy darab kenyér.
