TRỌNG ĐỨC	﻿HÖLGYEK ÖRÖME
CHƯƠNG 1	1
Denise cùng hai em trai xuống tàu Cherbourg ở ga Saint-Lazare, đi bộ sau một đêm ngồi ghế cứng trên một toa xe hạng ba.	Denise gyalog indult el a Saint-Lazare pályaudvarról, ahol a cherbourg-i vonatból szállt ki, két öccsével, egy harmadik osztályú kocsi kemény padján töltött éjszaka után.
Nàng dắt tay Pépé, Jean đi theo sau, cả ba mỏi nhừ vì chuyến đi, kinh hoàng và lạc lõng giữa Paris mênh mông, hếch mũi lên nhìn các nhà, ở mỗi ngã tư lại hỏi thăm về phố La Michodière, nơi có nhà ông chú Baudu.	Pépét kézen fogva vezette, Jean utána ment; mindhármukat megviselte az utazás, s most riadtan, honta­lanul bandukoltak ebben az óriási Párizsban, bámulták a magas házakat, és minden utcasarkon a Michodière utca után kérdezősködtek, ahol Baudu nagybátyjuk lakott.
– cô nói, – Jean ơi, trông kìa!	- Ó - mondta -, nézd csak, Jean!
Và họ đứng sững, siết chặt lấy nhau, cả ba đều mặc đồ đen đã cũ vì sắp mãn tang bố.	S csak álltak egymáshoz húzódva, talpig feketében, az apjukért viselt régi gyászruhában.
Cô gái, mảnh khảnh với tuổi hai mươi, vẻ con nhà nghèo, tay xách một gói nhẹ; còn phía bên kia thì đứa em nhỏ lên năm, níu lấy tay, sau lưng là thằng anh lớn, mười sáu tuổi, vênh vênh, phơi phới, đứng thõng hai tay.	A lány fejletlen volt húsz esztendejéhez képest, külseje szegényes, kezében kis csomag; a másik oldalon ötesztendős kisöccse akaszkodott a karjára, mögötte meg a nagyfiú állt ragyogó, büszke tizenhat esztendejével, karját lóbálva.
Đó là, ở góc phố La Michodière và phố Neuve-Saint-Augustin, một cửa hiệu tân phẩm, hàng bày nổi bật lên những màu rực rỡ trong ánh ngày tháng mười dịu nhạt.	A Michodière utca és az Új Szent Ágoston utca sarkán egy divatáruház volt, melynek kira­katai eleven színekkel tündököltek a szelíd, sápadt októberi napon.
Chuông nhà thờ Saint-Roch điểm tám giờ, trên bờ hè chỉ có dân Paris dậy sớm, những nhân viên tới sở và những bà nội trợ chạy các cửa hàng.	Szent Rókus templomában nyolcat ütött az óra, a gyalogjárókon még csak a reggeli Párizs sürgött-forgott: irodájukba siető hivatalnokok és bevásárló háziasszonyok.
Trước cửa hiệu, hai viên thư ký bán hàng leo trên một chiếc thang đôi, sắp treo xong những hàng len, còn trong một tủ kính phố Neuve-Saint-Augustin thì một viên thư ký khác, ngồi xổm và quay lưng đang thận trọng xếp nếp một tấm lụa xanh da trời.	Az ajtó előtt két kereskedősegéd, kettős létrán állva, éppen gyapjúholmit aggatott föl, az Új Szent Ágoston utcai kirakatban pedig egy harmadik segéd térdelt az utcának háttal, s gondosan redőkbe szedett egy kék selyemdarabot.
Trong cửa hiệu còn vắng khách mà nhân viên thì mới đến lác đác, râm ran như một tổ ong thức dậy.	Az áruház, melyben vevők nem voltak még, s a személyzet is alighogy megérkezett, úgy zümmögött odabenn, mint az ébredező méhkas.
— Ui chao!	- Az áldóját!
– Jean nói.	- mondta Jean.
– Nó đánh bạt Valognes… Hiệu của chị chẳng đẹp đến thế.	- Ez aztán különb Valognes-nál... A tied nem volt ilyen szép.
Denise lắc đầu.	Denise megrázta a fejét.
Cô đã hai năm làm việc ở đó, nhà Cornaille, tay bán tân phẩm số một thành phố; thế mà cửa hiệu này, cô bắt gặp đột ngột, nó thật là đồ sộ đối với cô, khiến cô hào hứng, xúc động, chăm chú, quên hết mọi sự.	Két esztendőt töltött ott Cornaille-nál, a város legelső divatárusánál; és most, hogy váratlanul megpillantotta ezt az üzletet, ezt a mérhetetlennek tetsző házat, szíven ütötte valami; megállt, nyugtalanul, kíváncsian, mindenről megfeledkezve.
Trên vạt tường cách ngang nhìn ra quảng trường Gaillon, chiếc cửa ra vào, toàn bằng gương, cao tới tầng một, giữa những trang trí phức tạp, mạ vàng khắp lượt.	Az épület­nek a Gaillon térre néző levágott sarkán a magas üvegkapu fölért a félemeletig, bonyolult, aranyozással megrakott díszítések között.
Cả một cuộc triển khai dường như vô tận, mất hút theo đường viễn thị, với những hàng bày ở tầng dưới và những tấm gương không tráng ở tầng trên, qua đó người ta nhìn thấy cả cuộc sống bên trong của các quầy hàng.	Végtelennek látszott ez a sor, összefutó távlatával, a földszinti kirakatokkal s a félemelet tükörablakaival, melyek mögött az üzlethelyiségek egész belső életét látni lehetett.
Ở phía trên, một cô gái, mặc đồ lụa, gọt một chiếc bút chì trong khi hai cô khác, gần đấy, mở ra những chiếc măng tô nhung.	Odafönn egy selyembe öltözött kisasszony ceruzát hegyezett, mellette meg két másik bársony köpenyeket bontogatott ki.
– Hay đấy nhỉ?	- Csinos, mi?
Có thế mới lôi kéo được thiên hạ chứ!	Ide aztán be is megy a nép, az biztos!
Nhưng Denise đứng mê mẩn trước hàng bày ở cửa chính giữa.	Hanem Denise elmerülten állt a főbejárat kirakata előtt.
Ở đó, ngoài trời, ngay trên bờ hè, bày la liệt những hàng rẻ tiền, những hàng cũ khiến những bà khách qua đường phải dừng chân.	Itt, az utca kellős közepén tornyo­sultak az olcsóbbnál olcsóbb áruk, szinte elöntötték a járdát, a kapuban kísértő alkalmi vételek megállították az arra járó női vevőket.
Hàng đó từ trên đưa xuống, những tấm len và dạ, mérino, cheviotte, molleton, từ tầng trên rơi xuống, phất phới như cờ, với những màu pha xám đen, xanh nước biển, xanh ô-liu, mà những mảnh nhãn hiệu điểm trắng.	Már odafönn elkezdődött: gyapjúszövetek, posztók, merinó, seviot, flanell hullott alá a félemeletről, zászlóként lobogva; közömbös színeiket, a palaszürkét, tengerkéket, olajzöldet élesen szakították meg a fehér árcédulák.
Phía bên, đóng khung theo ngưỡng cửa, cũng treo những dây da buộc lông thú, những băng kẹp làm dải áo, màu tro mịn của da lưng sóc, màu trắng ngần của lông bụng thiên nga, những lông thỏ giả lông chồn, lông điêu.	Oldalt, a kü­szöböt körülvéve, hosszú prémek függöttek, ruhaszegélynek való keskeny szalagok, a szürke mókusbundák finom hamuszíne, a hattyúprémek tiszta hava, a hamis hermelin és a hamis nyusztprém nyúlszőrei.
Rồi, phía dưới trong những ô, trên những bàn, giữa những rẻo vải chất đống, tràn ngập những hàng mũ áo đan bán rẻ mạt, găng và khăn len đan, mũ trùm vai, áo gi-lê, cả mặt hàng mùa đông màu sặc sỡ, tạp sắc, sòng sọc, với những chấm đỏ như máu.	Lent meg, a polcos szekrényekben, az asztalokon, a szövetmaradékok halmai között hallatlan bőségben hevertek a jóformán ingyen adott kötöttáruk, a kötött gyapjúkesztyűk és kendők, főkötők, mellények; egész téli kirakat, tarka mintás, csíkos, vérző vörös foltos szövetekből.
